"Id","UserId","Avatar","Author","Content","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"17899779948211919","1586224646","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/26868234_433149880458103_2281300097205534720_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGxRaBo8Z6Qb33rH3_qjgzvqkBsFHr4kUw33b7AmEd_c3IUY5d8MR8d5UgJZDYBLDM&_nc_ohc=ajTQCuLj5sQQ7kNvwF_xoOq&_nc_gid=1B8wjaay5hPY7aTe8O_d-w&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfNkws2G9nh5k7opm1r1wBuNhetw6X3JsBOk2rsX1iBd6A&oe=6857421E&_nc_sid=f5838a","medicalmedium","#cherries #stress #stressed #stressedout #heavymetaldetoxsmoothie #detoxsmoothie #hmds #heavymetaldetoxcleanse #healing #healinginspiration #inspiration #inspirational #heal #chronicillness #chronicallyill #foodismedicine #lifechangingfoods #thyroidhealing #liverrescue #cleansetoheal #celeryjuice #celeryjuicebenefits #celeryjuiceheals #celery #brainsaver #brainsaverprotocols #medicalmediumcommunity #medicalmedium","3","0","0","06/16/2025 3:09 AM"
"17875556472360005","5316078442","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/434365555_3267680236874566_5677116424315839981_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=uGhmmVBVJbkQ7kNvwF7DMTa&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfNGTqCFreRViH8aV4qVZUF61xwIA3Z_uiouDE8ae8jfEw&oe=685758F4&_nc_sid=f5838a","britannia_organic","💋","0","0","0","06/16/2025 3:13 AM"
"18018916337523295","235309041","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/28432856_151080588872753_1940532315289550848_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=EFO6RksyuwAQ7kNvwFTUPIV&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfM6BNaGbGRZHT7vjD2Pkgdh2OUrxmZwr407MBLDNUe-bg&oe=68575714&_nc_sid=f5838a","lemonbalmlove","Love cherries! 🍒❤️ They are one of my favourite fruits.","7","0","0","06/16/2025 3:18 AM"
"18087671080679618","1503805071","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/10954754_341581312701083_28622897_a.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=zZzpdzA_VxsQ7kNvwFK11N8&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfP-y6rKw7CeQrXpWDG3sS7zGpmEht8rtFmPNN7pDfNpig&oe=68574AD1&_nc_sid=f5838a","toorantaghinia","گیلاس وآلبالوعالیه مخصوصابرای خواب چونکه ملاتونین داره🍒🍒🍒","0","0","0","06/16/2025 3:20 AM"
"18082898074778865","6235446875","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/316897680_1105710656795983_403961504604489098_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=d-kr2VjZzswQ7kNvwFbF5FD&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfPZYAn6GJW00-mKelKWO-4OmFC9ZANGNLd4fRx58r6mdw&oe=685756EC&_nc_sid=f5838a","hope__beyond","❤️❤️❤️","0","0","0","06/16/2025 3:23 AM"
"18388473427137414","5668133673","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/19535266_1759868557639084_3992761452749389824_a.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGxRaBo8Z6Qb33rH3_qjgzvqkBsFHr4kUw33b7AmEd_c3IUY5d8MR8d5UgJZDYBLDM&_nc_ohc=hV_SxHGXLz8Q7kNvwF0RiR7&_nc_gid=1B8wjaay5hPY7aTe8O_d-w&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfPIHxLgNyjNg4RWSvCGZl2pXQLnW4OMbU7YeZcNG4tpbQ&oe=6857529D&_nc_sid=f5838a","dianafitoolivares","Love cherries","0","0","0","06/16/2025 3:34 AM"
"17952855434978272","25115912042","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/476726994_2459559344379712_2851748628327436221_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=0TmqmdATD2gQ7kNvwG68rfJ&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfO6wnGl8iAfYvYXTFuDDMpk0fqcvXs7fJ4Du_FFb2gXXA&oe=68575EE1&_nc_sid=f5838a","rene.horbach","🥳🕺🏻🎶","0","0","0","06/16/2025 3:34 AM"
"18142306462401611","74130321673","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/495590134_17847147657465674_532522659674084956_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=LvuOVVrOlr0Q7kNvwEbdmdS&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfOfYa6XEDKjywr5dlUq9xCY2PNf48LqXmxo_FXlTbrGOw&oe=68576E56&_nc_sid=f5838a","storybyhamed","One of my absolute favoritesite 😍 When I was a child I had the privilege of picking it from our trees in the garden 🙏","2","0","1","06/16/2025 3:57 AM"
"18048131801163051","25115912042","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/476726994_2459559344379712_2851748628327436221_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGn72uqZh1DlvJvYHauJfhEH3KEfAQw57aM0br-nPjTicUV6u3ym7qTbXr-nWU0zCg&_nc_ohc=0TmqmdATD2gQ7kNvwG68rfJ&_nc_gid=ZTJLbb1T-hcaSYsib_iaog&edm=AFDWGO4BAAAA&ccb=7-5&oh=00_AfPGClEENmKg2dj9ncTcOG_-4LJSfMOrci_VUmMKXGdt5A&oe=68575EE1&_nc_sid=7b9ede","rene.horbach","-@storybyhamed 🍒🍒🍒","1","1","0","06/16/2025 3:58 AM"
"18350946163158732","46515809283","https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/497748248_18039760016545284_7189580223765759517_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEet_7CTmkpufOgBkgPQjCJd1i2mdhHkG1dqIjLJwMi8c3EYyK_ksvk6XOUwbsSCyo&_nc_ohc=D6FcewSaD14Q7kNvwEYgNSm&_nc_gid=eHZxw7BG1DwnYISszunSQQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfPVuPLggPeq2GDOaSVKWz1giD1fMe38skS6eTEjhRfZ2Q&oe=685757A8&_nc_sid=f5838a","faszieology","😛 ganz wunderbar … ich liebe Kirschen 🍒 ❤️","1","0","0","06/16/2025 4:42 AM"
