Profile,Post,Create Date,Likes,Comments,Captions
medicalmedium,https://www.instagram.com/medicalmedium/p/DGOasfwy108/,"2/18/2025, 12:05:42 PM",18004,7974,"Medical Medium Angels, Demons & Spiritual Tools – Original Audio PREORDER NOW

Have you ever wondered why things go wrong or felt the despair of broken dreams, constant destruction, and lost faith? This is the wake-up call you need. The answers—and your power to rise up—are here. Discover the spiritual truths hidden behind the chaos of our lives and our world.

Why does positive thinking shatter despite our best efforts? Why does negativity so often seem to win? For nearly four decades, people have sought Medical Medium Anthony William’s wisdom on the mysteries of the afterlife and after-death, the forces of good and evil, and the supernatural influences that seem to undermine our lives. Finally, Anthony has decided to go public with these groundbreaking teachings to unveil the unseen forces shaping our reality.

In this first installment of the Spiritual Receptions and Prophecies Series, Anthony reveals the truth behind psychic attacks, bullying, possession, angelic intervention, the true meaning of enlightenment, and how to reshape your soul—no matter your belief system. Whether you conceive of destructive forces as negative energy, dark energy, entities, or literal demons, the time to protect yourself and your loved ones is now.

Medical Medium Angels, Demons & Spiritual Tools is more than a prophecy—it’s a spiritual survival guide for navigating the unseen battles around us, including the ongoing spiritual war between demons and angels. This audio exposes the root causes of chaos, suffering, and misfortune—and arms you with powerful tools to reclaim your life. Explore where demons lurk and learn how to weaken toxic energy, get a demon off your trail, and even purify some negative entities out of existence with Spiritual Lights of Free Will. As Anthony says, “You’re equipped to battle the part of the supernatural realm that tries to work against us.”

This isn’t just an original audio —it’s a lifeline. Anthony William invites you to step into your spiritual power. Don’t wait—preorder today and protect yourself from the forces shaping your reality.

Comment “PREORDER” and we will send you the link!"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DKz_GA3SRcf/,"6/12/2025, 12:24:19 PM",13177,4321,"Repost from @medicalmedium
•
Aloe Vera Shock Therapy

Do you suffer from stomach pain, acid reflux, ulcers, H. Pylori, Crohn’s, Colitis, IBS, bloating, intestinal cramping, gastritis, SIBO, constipation, diverticulitis or diverticulosis? If you have one or more of these conditions or have stomach issues in general, then you should know about Medical Medium Aloe Vera Shock Therapy and ask your doctor what they think about this food.

People with mystery stomach and intestinal tract problems have found powerful results and even in some situations avoided surgeries because of the healing power of Aloe Vera Shock Therapy. The goal with using aloe is to slow down and eventually stop intestinal tract spasms, bring inflammation down, coat the gut linings, neutralize acids and inhibit bacterial and viral growth as well as yeast, unproductive fungus and mold growth.

To do the Medical Medium Aloe Vera Shock Therapy, for an adult, consume two to four inches of fresh aloe vera gel, skin removed, every two to four waking hours for up to seven days consecutively.

Comment ALOE for a link on this protocol and other tools to heal

Have you ever eaten fresh aloe vera?"
medicalmedium,https://www.instagram.com/medicalmedium/reel/CnwuV3eI00-/,"1/23/2023, 7:43:07 AM",43168,3330,"Watch This Before You Get Your Blood Drawn

Did you know that getting blood drawn removes some of your immune system? This is original Medical Medium information. When you’re sick or symptomatic, your immune system is already weakened, and getting blood drawn can weaken it even more. This is the reason why many people get sicker in the weeks and months after getting a lot of blood drawn. This can create a viscous cycle that leads to people becoming sicker than ever before. 

Getting blood work can be important at times and you should always work with your doctor on what is best for you. But there are steps and tools you can put in place to protect your immune system before, during, and after getting blood drawn. Watch this video to find out more, and learn all about how to take care of yourself when you’re getting blood drawn in Brain Saver - https://geni.us/brain-saver 

#medicalmedium"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK7cvMguKVk/,"6/15/2025, 9:54:56 AM",5608,1258,"Medical Medium Heavy Metal Detox

Comment HEAVY METAL DETOX and we will send you link to smoothie recipe now

Toxic heavy metals are behind some of the most widespread health issues today: ADHD, autism, Alzheimer’s, infertility, Crohn’s, ulcerative colitis, depression, anxiety, cancers, seizures, and more. These metals are also fuel for viruses, and it’s these viruses that are the unknown cause of so many chronic mystery illnesses today.

Lead, mercury, copper, cadmium, nickel, arsenic, and aluminum can all build up in the body to create or contribute to illness. When was the last time you used aluminum foil? Or perhaps you live in a house with copper pipes. Or you regularly walk through a park treated with pesticides (which often contain toxic heavy metals). Potential exposure is everywhere, and sometimes unavoidable. It’s even falling out of the sky in vapors. In some cases, the heavy metals in our cells have nothing to do with exposure in our lifetime. Mercury, the most corrupting of the toxic heavy metals, can easily stick around in a bloodline for millennia, passed from generation to generation, amplifying as it goes. So the mercury in a child’s cerebral midline canal that’s causing his autistic symptoms could have been mined 3,000 years ago—and could be causing more trouble now than ever before.

On their own, these heavy metals are poisons. But they also tend to oxidize, causing even more problems, such as toxic runoff that damages any tissue in its path. Toxic heavy metals aren’t just a problem in the brain. When they’re present anywhere in the body, they lower overall immunity and act as fuel for viruses and bacteria.” - Excerpt from Life-Changing Foods

To safely and effectively remove metals from your body, focus on eating the below five foods that work synergistically together every day.

Wild blueberries
Fresh Cilantro
Spirulina
Barley grass juice powder
Atlantic dulse

Comment HEAVY METAL DETOX and we will send you link to smoothie recipe now"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK70D3KyPj9/,"6/15/2025, 1:19:59 PM",8071,915,"THIS TOOL HAS BEEN CHANGING PEOPLE’S LIVES FOR DECADES

Comment HMDS and we will DM you the link

The Medical Medium Heavy Metal Detox has been helping change people’s lives for decades, including helping with brain fog, eczema, migraines, anxiety, depression, OCD, memory loss, addictions, autism, psoriasis, ADHD, and much more. I recommended it for years before I published it in the first Medical Medium book in 2014 over a decade ago. 

GRAB & GO HEAVY METAL DETOX SMOOTHIES AT 10 EREWHON LOCATIONS

Now I am thrilled that it has become more accessible than ever before with all locations of the legendary Erewhon market in LA now stocking the Medical Medium Heavy Metal Detox Smoothies in glass bottles in their cold-pressed juice and smoothie section of their stores.

This is an incredible opportunity for those of you who live in or near LA, or for those visiting the area, to quickly and easily pick up a grab-and-go Medical Medium Heavy Metal Detox Smoothie. Erewhon makes the smoothies every day so they will be fresh, cold, and ready to enjoy and receive their healing benefits.

If you normally make your smoothie at home, you can now give yourself a break some days by picking it up at any of Erewhon’s locations. Or if you’re struggling with symptoms that make it hard to be in the kitchen, you don’t have a blender, or you simply enjoy the convenience of having your smoothie made for you, you can get your smoothie at the Erewhon locations instead.

I know it’s so difficult to be struggling with chronic illnesses, symptoms, and conditions, along with all the other challenges life can bring our way. That’s why having this opportunity to easily get your Heavy Metal Detox Smoothies at Erewhon is so special. Anything that makes healing more accessible to people is something I’m very thankful for.

Erewhon’s locations can be found on their website. Comment HMDS and we will DM you the link to their website."
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK-vHi1tAKS/,"6/16/2025, 4:34:37 PM",11150,693,"✈️ Birds Are Getting Caught In The Chemtrails

Comment LISTEN to be DM’d the link to this powerful podcast episode.

Birds, in large numbers, fall victim to Chemtrails and Geoengineering trails every day.

It’s not just birds that live in areas of the world regardless of what season it is, but instead, birds in large swarms and flocks traveling long distances in search of food, water and good weather.

These are the birds in the greatest danger that become impacted the most by wrongful death from Chemtrail programs and Geoengineering programs.

Birds are dying in droves, falling out of the sky, and many times, right in front of people in the streets.

It is actually raining birds and they’re hitting the ground either dead or in the process of dying.

In Episode 7 of the Chemtrail and Geoengineering Series, we are covering the crime against our birds and how far the darkness really goes when it comes to the senseless killing of nature…

Comment LISTEN to be DM’d the link to this powerful podcast episode."
medicalmedium,https://www.instagram.com/medicalmedium/p/DKzh7SIu4M0/,"6/12/2025, 8:06:21 AM",4856,473,"Aloe Vera Shock Therapy

Comment ALOE THERAPY to get link now

Medical Medium Aloe Vera Shock Therapy is an original Medical Medium healing tool from Brain Saver Protocols, Cleanses & Recipes. Many people struggle with gastrointestinal pain that radiates all through the abdomen and torso without realizing that it originates from the stomach or intestinal tract. Aloe vera has chemical compounds that neutralize acid and calm nerves in the intestinal tract linings, slowing down and stopping intestinal spasms. Aloe neutralizes acids and inhibits bacterial and viral growth as well as yeast, unproductive fungus, and mold growth. Aloe vera also soothes the linings of the intestinal tract, calming inflamed intestinal tract nerves, inhibiting gastric nerve spasms, and alleviating pressure on the vagus nerves.

Suggested Applications for Medical Medium Aloe Vera Shock Therapy:

Stomach pain, gastrointestinal pain, intestinal and stomach pain that rises into the chest or runs through the back and up to the neck and shoulders, colitis, IBS, Crohn’s, celiac, acid reflux, ulcers, stomach burning, H. pylori, SIBO, stomach pain shortly after eating a meal, stomach and intestinal cramping, gastritis, severe bloating that’s painful, constipation, acid attacks, gastroparesis.

Medical Medium Aloe Vera Shock Therapy Directions:

For an adult, consume 2 to 4 inches of fresh aloe vera gel (skin removed) every two to four waking hours.

Continue this therapy for one to seven days.

After three or more days off Aloe Vera Shock Therapy, you’re welcome to cycle through one to seven days of the therapy again. In between rounds of Aloe Vera Shock Therapy, you can do 2 or more inches of fresh aloe vera gel daily or twice a day.

To prepare the aloe gel, carefully slice open your 2- to 4-inch piece of aloe vera leaf, filleting it as if it were a fish and trimming away the green skin and spikes. Scoop out the clear gel.

Make sure you do not use the skin. As you’re scooping out the aloe gel, try not to scrape the skin. The chemical compound in the green skin can be irritating for some people.

CONTINUED BELOW

Comment ALOE THERAPY to get link now"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK-I5Z9OfmU/,"6/16/2025, 10:59:18 AM",2417,413,"Insomnia

Trouble sleeping can sometimes be as simple as a racing mind that’s trying to solve a problem, stress, or worry in your life. We don’t need to stress ourselves out over a bad night or two. When sleeping problems become chronic, that’s when there’s more going on. Neurotransmitter chemicals are one critical part of being able to sleep. Electricity is running through every neuron as we’re sleeping. If neurotransmitters are diminished, electrical impulses have a tough time traveling throughout the brain. Low neurotransmitter chemicals or weakened ones can cause the brain to have difficulty finding balance so you can ease into sleep and stay there.

Someone may also have a sensitive nervous system due to a chronic, low-grade infection in the liver of a virus such as EBV or shingles, which often goes undiagnosed. Neurotoxins breaking out of the liver and traveling through the bloodstream can reach the brain, where they saturate, pollute, and diminish neurotransmitter chemicals. This is especially true if someone’s diet is not conducive to protecting them from viruses and building up neurotransmitter activity.

Often people with toxic heavy metals inside the brain have difficulty sleeping from toxic heavy metals oxidizing and affecting neurotransmitter chemicals. In cases of very chronic, serious insomnia, it’s usually a combination of both toxic heavy metals in the brain and a low-grade viral infection in the body. Toxic heavy metals and viruses weaken the central nervous system just enough to constantly disturb someone’s sleep or to make it very difficult to fall asleep in the first place.

Body aches and pains from low-grade viral infection or injury can also create insomnia. So can pharmaceuticals that make a liver sluggish and stagnant while feeding a low-grade infection of a virus such as EBV.

Comment INSOMNIA for a link to specific healing support, including a supplement protocol with dosages in Brain Saver and Brain Saver Protocols, Cleanses & Recipes"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK2H_OIur2G/,"6/13/2025, 8:20:34 AM",4874,366,"Brain Soother Juice: A Brain Saver Recipe

Comment RECIPE for a link to be sent to you now

When life surprises us with high stress and intense moments, our brain can overheat, and we can lose precious electrolyte and glucose reserves. This tonic helps calm the mind and cool the brain down from overheating while replenishing reserves.

Cucumber juice has a fountain-of-youth effect, hydrating us at the deepest cellular level possible. Plus, cucumbers’ cooling effect makes them excellent for cooling an overheated brain. 

Celery juice provides mineral salts (namely, sodium cluster salts, a subgroup of sodium only found in celery juice) to the central nervous system.

Apples calm your system by reducing viral and bacterial loads that create inflammation, helping to reduce encephalitis (brain inflammation).

Fennel is high in vitamin C and other strong antiviral compounds that fight off pathogens.

This recipe comes from Brain Saver Protocols, Cleanses & Recipes, the companion book to Medical Medium Brain Saver. These two essential books about our most complex organ—the brain—dive deep into why people all over the world are suffering with mental health and brain-related symptoms and conditions. Brain Saver unveils the why behind more than 100 brain- and nervous system–related symptoms, diseases, and disorders; Brain Saver Protocols, Cleanses & Recipes reveals the truth about how to heal in even more detail (including cleanses, recipes, supplement protocols, and so much more). 

Brain Soother Juice

Ingredients:
2 medium cucumbers 
6 stalks celery 
2 medium apples 
1 whole bulb fennel

Directions:
Run all the ingredients through the juicer of your choice. 

Serve immediately.

Tips:
When juicing fennel for this recipe, you can use only the bulb or the bulb plus the lower part of the stalks.

Makes 1 serving

Comment RECIPE for this and over 100 more healing recipes in Brain Saver Protocols, Cleanses, & Recipes"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK4zoPuOYh8/,"6/14/2025, 9:17:15 AM",6813,350,"If you are struggling with chronic illness, always remember that your body is working hard for you every day, fighting for you to heal, and that your body has your back and loves you unconditionally. Always know that you are a good person. Pat yourself on the back and always have compassion for yourself. Do not judge yourself because you became ill. You did not create your illness and you do not deserve to be chronically ill. 

It’s hard to have clarity when a person can’t find the answers they need to complete deep healing. It’s hard to keep clarity when others do not know their suffering and struggles and it’s sometimes hard to see straight when someone is in pain, fighting for their lives on an hourly basis, but always remember: you can heal and healing is what your body understands. Every little powerful tool you apply to your health rings through your body and sounds off your healing powers. Your body holds these healing powers and they are always there, ready to be ignited. 

As you go to bed at night, remember there is an audience and you are not truly alone. Call upon the angels and ask them to be by your bedside—they are watching you and when you wake up in the morning, know that God is there watching over you and knows about your struggles. He sees you throughout the night and knows you are working hard every day on your healing. God knows what a good soul you are and what kind of soul you are. Chronic illness does not govern over every aspect of who you are but instead becomes a profound spiritual growth experience that can only come from the struggles of once being sick. Just around the corner comes the day you will look back at it all while being healthy again—you will see it from a distance and have a knowing wisdom to carry throughout this lifetime.

Comment HEALING to receive a link to this advertisement-free podcast on Apple & Spotify.

In this episode…

Discover how when a person is chronically ill, they aren’t alone and that there is an audience around them from above seeing their struggles and journey.

Find out how you deserve to heal, and becoming sick with symptoms and conditions isn’t your fault"
